id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
316412,DK-0002,closed,"Orø Flyveplads",55.78752,11.843064,,EU,Denmark,DK,"Capital Region",DK-84,84,,0,,,,,,,50,2023-04-06T05:41:48+00:00
316647,EKFR,small_airport,Freerslev,55.898611,12.245,,EU,Denmark,DK,"Capital Region",DK-84,84,,0,EKFR,,,,,,50,2016-05-15T14:20:10+00:00
320950,DK-0020,small_airport,"Frederikssund Syd Flyveplads",55.814761,12.081471,,EU,Denmark,DK,"Capital Region",DK-84,84,,0,,,,,,,50,2016-10-29T03:23:23+00:00
320954,DK-0022,small_airport,"Frederikssund Nord Glider Field",55.852511,12.074404,,EU,Denmark,DK,"Capital Region",DK-84,84,,0,,,,http://www.f-f-f.dk,,,50,2016-10-29T11:59:24+00:00
505342,EKML,small_airport,"Måløv Airfield UL",55.751716,12.280226,56,EU,Denmark,DK,"Capital Region",DK-84,84,,0,EKML,,,,,Albatros,50,2022-12-08T13:20:50+00:00
315603,EKSL,small_airport,"Slaglille Svæveflyvecenter",55.452222,11.644722,,EU,Denmark,DK,Zealand,DK-85,85,,0,EKSL,,,,,,50,2022-01-09T23:11:36+00:00
320938,DK-0015,small_airport,Aversi,55.3438217,11.8350602,,EU,Denmark,DK,Zealand,DK-85,85,,0,,,,http://aversi.dk,,,50,2016-10-28T04:31:30+00:00
320965,DK-0024,small_airport,"Orupgaard Flyveplads",54.7702778,11.9472222,,EU,Denmark,DK,Zealand,DK-85,85,,0,,,,,,,50,2016-10-29T23:34:42+00:00
326894,DK-0034,small_airport,"Slagelse Private Airstrip",55.3599187,11.3096013,,EU,Denmark,DK,Zealand,DK-85,85,,0,,,,,,,50,2018-04-01T12:39:11+00:00
319130,DK-0010,small_airport,"True Gliderfield",56.178925,10.076621,,EU,Denmark,DK,"Central Jutland",DK-82,82,Aarhus,0,EKAS,,,http://www.aasvk.dk/,https://da.wikipedia.org/wiki/True_Sv%C3%A6veflyveplads,Aarhus,50,2024-05-21T04:47:04+00:00
318327,EKHE,small_airport,"Annisse flyveplads",55.984722,12.214444,,EU,Denmark,DK,"Capital Region",DK-84,84,Annisse,0,EKHE,,,,,,50,2022-01-09T18:22:25+00:00
318287,EKBH,small_airport,"Svæveflyvecenter Arnborg",56.011944,9.0125,,EU,Denmark,DK,"Central Jutland",DK-82,82,Arnborg,0,EKAB,,,,https://da.wikipedia.org/wiki/Sv%C3%A6veflyvecenter_Arnborg,"Bolhede, Arnborg",50,2024-05-20T12:42:00+00:00
31000,EKAV,closed,"Avnø Air Base",55.083,11.783,13,EU,Denmark,DK,Zealand,DK-85,85,Avnø,0,,,,,,"Avno, Avnoe, EKAV",50,2016-07-07T15:25:49+00:00
331803,DK-0038,small_airport,"Bjørnø Flyveplads",55.0678624,10.243161,,EU,Denmark,DK,"South Denmark",DK-83,83,"Bjørnø Island",0,,,,,,,50,2019-08-01T05:43:34+00:00
318903,DK-0005,small_airport,"Bogense Flyveplads",55.543022,10.032566,,EU,Denmark,DK,"South Denmark",DK-83,83,Bogense,0,,,,,,,50,2016-06-19T05:14:23+00:00
319129,DK-0009,small_airport,"Bolhede Glider Field",55.631971,8.755736,,EU,Denmark,DK,"South Denmark",DK-83,83,Bolhede,0,EKBH,,,http://bolhede.dk/,,,50,2016-10-27T06:23:28+00:00
317475,DK-0004,small_airport,Brædstrup,55.943611,9.653333,,EU,Denmark,DK,"Central Jutland",DK-82,82,Brædstrup,0,EKBR,,,http://www.ekbr.dk/,,,50,2016-05-16T00:44:35+00:00
322677,DK-0031,small_airport,"North Jutland Ultralight Flying Club",57.247811,9.940858,,EU,Denmark,DK,"North Jutland",DK-81,81,Brønderslev,0,,,,http://www.nulf.dk,,"Nordjyllands Ultra Light Flyveklub",50,2021-03-02T12:06:46+00:00
319112,DK-0007,small_airport,"Ejstruphede Glider Field",56.020679,8.692492,100,EU,Denmark,DK,"Central Jutland",DK-82,82,Ejstruphede,0,,,,http://svaeveflyvning.dk/side1,,,50,2016-06-24T10:04:39+00:00
320949,DK-0019,small_airport,"Estruplund Flyveplads",56.5577778,10.3583333,,EU,Denmark,DK,"Central Jutland",DK-82,82,Estruplund,0,,,,,,,50,2016-10-29T03:16:02+00:00
318288,EKKS,small_airport,"Kongsted Svæveflyveplads Glider",55.2522222,12.0627778,,EU,Denmark,DK,Zealand,DK-85,85,Faxe,0,EKKS,,,,,Kongsted,50,2016-06-05T02:25:30+00:00
29884,EKFU,small_airport,"Fur Airstrip",56.824886,8.987213,30,EU,Denmark,DK,"Central Jutland",DK-82,82,Fur,0,EKFU,,,,,"Salling peninsula, Skive",50,2021-11-28T07:56:52+00:00
320953,DK-0021,small_airport,"Gesten Glider Field",55.550967,9.189979,,EU,Denmark,DK,"South Denmark",DK-83,83,Gesten,0,EKGE,,,,,,50,2022-10-13T15:53:38+00:00
331156,DK-0037,small_airport,"Gilleleje Airstrip",56.106298,12.323405,,EU,Denmark,DK,"Capital Region",DK-84,84,Gilleleje,0,,,,,,,50,2022-01-09T18:23:50+00:00
29916,EKGR,small_airport,"Grenaa Airfield",56.442501,10.9306,20,EU,Denmark,DK,"Central Jutland",DK-82,82,Grenaa,0,EKGR,,,,,Grenå,50,2021-08-27T04:47:20+00:00
320948,DK-0018,small_airport,"Filskov Airfield",55.81478,9.047152,,EU,Denmark,DK,"South Denmark",DK-83,83,Grindsted,0,,,,,,,50,2021-02-03T17:46:15+00:00
320964,DK-0023,small_airport,"Grønbæk Airfield",56.270588,9.623194,,EU,Denmark,DK,"Central Jutland",DK-82,82,Grønbæk,0,,,,,,"Grønbæk Flyveplads",50,2021-03-02T12:10:58+00:00
2544,EKGH,small_airport,"Grønholt Hillerød Airfield",55.941399,12.3822,97,EU,Denmark,DK,"Capital Region",DK-84,84,Grønholt,0,EKGH,,,,https://da.wikipedia.org/wiki/Gr%C3%B8nholt_Flyveplads,"Gronholt, Groenholt, Hillerod, Hilleroed",50,2024-05-20T12:42:29+00:00
318289,EKGO,small_airport,"Gørlev Flyveplads",55.5527778,11.1952778,,EU,Denmark,DK,Zealand,DK-85,85,Gørlev,0,EKGO,,,,,Gorlev,50,2016-06-05T02:39:49+00:00
320131,EKGL,small_airport,"Gørløse Glider Field",55.8855556,12.2280556,,EU,Denmark,DK,"Capital Region",DK-84,84,Gørløse,0,EKGL,,,http://www.glider.dk/node/357,,,50,2016-09-06T13:05:50+00:00
31002,EKHO,small_airport,"Lindtorp Flyvecenter",56.396702,8.44194,49,EU,Denmark,DK,"Central Jutland",DK-82,82,Holstebro,0,EKHO,,,,,,50,2021-11-28T07:59:33+00:00
319127,DK-0008,small_airport,"Holstebro Glider Field",56.306223,8.586466,,EU,Denmark,DK,"Central Jutland",DK-82,82,Holstebro,0,,,,http://www.flyvecenter.dk/,,,50,2016-06-27T05:07:32+00:00
321105,DK-0030,small_airport,"Holsted Private Airfield",55.561962,8.936523,,EU,Denmark,DK,"South Denmark",DK-83,83,Holsted,0,,,,,,,50,2022-10-18T16:16:34+00:00
506663,DK-0051,small_airport,"Grimlund/Hoven Airstrip",55.822478,8.717765,,EU,Denmark,DK,"Central Jutland",DK-82,82,Hoven,0,,,,,,,50,2023-12-02T13:40:45+00:00
340594,DK-0039,small_airport,"Hesselø Airstrip",56.198194,11.701118,,EU,Denmark,DK,"Capital Region",DK-84,84,Hundested,0,,,,,,,50,2021-02-03T17:35:06+00:00
29252,EKVL,closed,"Værløse Air Base",55.769501,12.3239,42,EU,Denmark,DK,"Capital Region",DK-84,84,"Kirke Værløse",0,,,,,https://en.wikipedia.org/wiki/V%C3%A6rl%C3%B8se_Air_Base,"EKVL, Vaerlose, EKVL",50,2022-01-16T11:00:04+00:00
30040,EKKO,small_airport,"Korsør Airfield",55.336899,11.2417,39,EU,Denmark,DK,Zealand,DK-85,85,Korsør,0,EKKO,,,,,,50,2024-02-01T11:57:44+00:00
320939,DK-0016,small_airport,"Sølager Airfiield",55.949956,11.925052,,EU,Denmark,DK,"Capital Region",DK-84,84,Kulhuse,0,,,,,,,50,2021-02-03T17:45:34+00:00
29240,EKLV,small_airport,"Lemvig Airfield",56.502998,8.31133,97,EU,Denmark,DK,"Central Jutland",DK-82,82,Lemvig,0,EKLV,,,http://www.eklv.dk/,https://en.wikipedia.org/wiki/Lemvig_Airfield,,50,2024-05-16T17:05:29+00:00
320855,DK-0013,small_airport,"Næstved Airfield",55.210902,11.717592,,EU,Denmark,DK,Zealand,DK-85,85,Naestved,0,,,,,,,50,2021-02-03T17:48:07+00:00
30179,EKNS,closed,"Nakskov Airfield",54.8172,11.1308,3,EU,Denmark,DK,Zealand,DK-85,85,Nakskov,0,,,,,,"EKNS, EKNS",50,2016-10-28T05:34:05+00:00
322702,DK-0032,small_airport,"Vejrø Flyveplads",55.025703,11.347842,1,EU,Denmark,DK,Zealand,DK-85,85,Nakskov,0,EKVO,,,http://www.vejroe.dk/flyveplads.aspx,,,50,2017-06-12T04:12:02+00:00
321088,DK-0029,small_airport,"Sulkendrup Airstrip",55.283692,10.714227,,EU,Denmark,DK,"South Denmark",DK-83,83,Nyborg,0,,,,,,,50,2024-02-01T11:59:45+00:00
340595,DK-0040,small_airport,"Tunø Airstrip",55.956832,10.409408,,EU,Denmark,DK,"Central Jutland",DK-82,82,Odder,0,,,,,,,50,2021-02-03T17:36:44+00:00
29243,EKRR,closed,"Ro Airport",55.2103004456,14.878600120500002,325,EU,Denmark,DK,"Capital Region",DK-84,84,Ro,0,,,,,,"EKRR, EKRR",50,2012-03-15T12:25:03+00:00
319090,DK-0006,small_airport,"Rødekro Flyveplads",55.0786111,9.3013889,,EU,Denmark,DK,"South Denmark",DK-83,83,Rødekro,0,,,,,,,50,2016-06-24T07:29:47+00:00
317784,EKCR,small_airport,Christianshede,56.105,9.393056,,EU,Denmark,DK,"Central Jutland",DK-82,82,Silkeborg,0,EKCR,,,,,"Ekcr, Christianshede, Silkeborg flyveplads, Silkeborg flyveklub",50,2019-05-01T15:35:40+00:00
326132,DK-0033,small_airport,"Bjedstrup Airstrip",56.071002,9.867514,,EU,Denmark,DK,"Central Jutland",DK-82,82,Skanderborg,0,,,,,,,50,2021-02-03T17:47:05+00:00
29246,EKSD,small_airport,"Spjald Airfield",56.102699,8.51423,249,EU,Denmark,DK,"Central Jutland",DK-82,82,Spjald,0,EKSD,,,,,,50,2021-06-25T01:57:38+00:00
29245,EKSA,small_airport,"Sæby (Ottestrup) Airfield",57.346699,10.407,110,EU,Denmark,DK,"North Jutland",DK-81,81,Sæby,0,EKSA,,,,,Saeby,50,2021-11-27T05:19:55+00:00
320968,DK-0026,small_airport,"Sønder Felding Airfield",55.946667,8.743333,,EU,Denmark,DK,"Central Jutland",DK-82,82,"Sønder Felding",0,,,,,,,50,2021-02-03T17:44:41+00:00
320935,DK-0014,small_airport,"Nordborg Flyveplads",55.07485,9.753379,,EU,Denmark,DK,"South Denmark",DK-83,83,Sønderborg,0,EKNB,,,,,Nordborg/Pøl,50,2016-10-28T00:35:48+00:00
316824,DK-0003,small_airport,"Tølløse Flying Club Glider Field",55.581644,11.759105,,EU,Denmark,DK,Zealand,DK-85,85,Tølløse,0,EKTO,,,http://www.cumulus.dk/,,"Sjaellands Svaeveflyvecentrum",50,2022-10-21T12:53:02+00:00
331410,DK-0035,small_airport,"Ølgod Airfield",55.8334107,8.5528725,,EU,Denmark,DK,"South Denmark",DK-83,83,Vallund,0,,,,,,,50,2019-06-13T06:12:26+00:00
317884,EKFS,small_airport,"Vøjstrup Glider Field",55.2477778,10.2041667,,EU,Denmark,DK,"Central Jutland",DK-82,82,Vøjstrup,0,EKFS,,,,,"Broby, Vøjstrup",50,2016-05-15T01:10:15+00:00
345938,EKCB,heliport,"Arslev Heliport",56.134444,10.081111,132,EU,Denmark,DK,"Central Jutland",DK-82,82,,0,EKCB,,,,,,0,2021-11-20T06:34:19+00:00
316929,EKSG,heliport,"Schelenburg God Heliport",55.543889,10.635833,,EU,Denmark,DK,"South Denmark",DK-83,83,,0,EKSG,,,,,,0,2022-01-09T18:25:32+00:00
529369,EKRB,heliport,"Bornholm Hems Heliport",55.090833,14.708056,62,EU,Denmark,DK,"Capital Region",DK-84,84,,0,EKRB,,,,,,0,2024-05-14T14:45:08+00:00
